Jadwal,Suhu Bulan -3 (C),Suhu Bulan -2 (C),Suhu Bulan -1 (C),Suhu Bulan Panen (C),Kelembaban Bulan -3 (RH),Kelembaban Bulan -2 (RH),Kelembaban Bulan -1 (RH),Kelembaban Bulan Panen (RH),Curah Hujan Bulan -3 (mm),Curah Hujan Bulan -2 (mm),Curah Hujan Bulan -1 (mm),Curah Hujan Bulan Panen (mm),Lama Penyinaran Bulan Panen (Jam),Luas lahan Yang Digunakan (Ha),Total Produksi Panen Padi (Ton)
April,27.69,27.21,27.64,28.96,81.61,83.07,83.29,77,10.88,17.45,16.03,10.37,8.14,229253,1345462.55
Mei,27.21,27.64,28.96,28.75,83.07,83.29,77,74.48,17.45,16.03,10.37,0,8.11,114149,635297.04
Juni,27.64,28.96,28.75,27.91,83.29,77,74.48,75.97,16.03,10.37,0,4.61,8.19,164821,923599.84
Juli,28.96,28.75,27.91,26.66,77,74.48,75.97,74.26,10.37,0,4.61,0,9.04,211502,1190086.94
Agustus,28.75,27.91,26.66,26.67,74.48,75.97,74.26,71.9,0,4.61,0,0,8.95,126227,714606.88
September,27.91,26.66,26.67,28.05,75.97,74.26,71.9,68.3,4.61,0,0,0.72,8,100691,624663.23
Oktober,26.66,26.67,28.05,29.35,74.26,71.9,68.3,67,0,0,0.72,0,8.73,79525,489721.49
November,26.67,28.05,29.35,29.51,71.9,68.3,67,73.5,0,0.72,0,6.97,6.35,77907,470151.11
Desember,28.05,29.35,29.51,29.03,68.3,67,73.5,77.29,0.72,0,6.97,16.1,3.76,57398,342637
Januari 2019,29.35,29.51,29.03,27.84,67,73.5,77.29,82.13,0,6.97,16.1,16.26,4.52,56736,314228.76
Februari,29.51,29.03,27.84,28,73.5,77.29,82.13,81.93,6.97,16.1,16.26,17.35,5.77,78350,442558.79
Maret,29.03,27.84,28,27.68,77.29,82.13,81.93,83.7,16.1,16.26,17.35,11.45,4.87,341663,1933799.6
April,27.84,28,27.68,28.37,82.13,81.93,83.7,83.6,16.26,17.35,11.45,12.79,6.09,331680,1857128.26
Mei,28,27.68,28.37,28.46,81.93,83.7,83.6,77.31,17.35,11.45,12.79,1.8,8.59,116104,616134.88
Juni,27.68,28.37,28.46,27.13,83.7,83.6,77.31,76.33,11.45,12.79,1.8,0,8.25,151269,806305.87
Juli,28.37,28.46,27.13,26.49,83.6,77.31,76.33,75,12.79,1.8,0,0.03,8.6,201161,1071320.17
Agustus,28.46,27.13,26.49,26.66,77.31,76.33,75,72.29,1.8,0,0.03,0,9.4,141740,750277.4
September,27.13,26.49,26.66,27.3,76.33,75,72.29,70.9,0,0.03,0,0,9.27,82610,516564.94
Oktober,26.49,26.66,27.3,28.89,75,72.29,70.9,68,0.03,0,0,0,9.47,77784,501296
November,26.66,27.3,28.89,30.25,72.29,70.9,68,67.73,0,0,0,0.88,8.88,78379,499059.44
Desember,27.3,28.89,30.25,29.86,70.9,68,67.73,74.89,0,0,0.88,7.08,6.62,44949,272259.77
Januari 2020,28.89,30.25,29.86,28.38,68,67.73,74.89,81.84,0,0.88,7.08,11.45,5.04,51055,288721.13
Februari,30.25,29.86,28.38,27.68,67.73,74.89,81.84,85.45,0.88,7.08,11.45,18.84,4.72,59873,345241.14
Maret,29.86,28.38,27.68,28.19,74.89,81.84,85.45,83.77,7.08,11.45,18.84,10.53,5.54,218193,1324020.59
April,28.38,27.68,28.19,28.54,81.84,85.45,83.77,82.6,11.45,18.84,10.53,13.42,6.28,394917,2243967.32
Mei,27.68,28.19,28.54,28.39,85.45,83.77,82.6,82.58,18.84,10.53,13.42,18.13,7.04,191365,992091.94
Juni,28.19,28.54,28.39,27.68,83.77,82.6,82.58,79.66,10.53,13.42,18.13,1.81,7.42,113835,603419.93
Juli,28.54,28.39,27.68,27.28,82.6,82.58,79.66,76.17,13.42,18.13,1.81,0.1,8.25,208803,1135872.36
Agustus,28.39,27.68,27.28,27.54,82.58,79.66,76.17,75.77,18.13,1.81,0.1,0.88,8.65,178561,924107.6
September,27.68,27.28,27.54,28.72,79.66,76.17,75.77,70.88,1.81,0.1,0.88,0,9.01,99431,618728.34
Oktober,27.28,27.54,28.72,29.18,76.17,75.77,70.88,72.97,0.1,0.88,0,1.99,7.03,106681,678324.07
November,27.54,28.72,29.18,29.17,75.77,70.88,72.97,76.73,0.88,0,1.99,6.7,6.29,79936,507859.59
Desember,28.72,29.18,29.17,27.26,70.88,72.97,76.73,85.06,0,1.99,6.7,21.84,3.27,59232,360032.71
